,,,,
,Charge,Range (M),Elevation (MIL),Drift (MIL)
,5W,7800,"1133,2","59,9"
,5W,7700,"1141,3","61,5"
,5W,7600,"1149,2","63,2"
,5W,7500,"1156,9","64,9"
,5W,7400,"1164,5","66,6"
,5W,7300,"1171,9","68,4"
,5W,7200,"1179,1","70,3"
,5W,7100,"1186,2","72,2"
,5W,7000,"1193,2","74,2"
,5W,6900,1200,"76,3"
,5W,6800,"1206,7","78,5"
,5W,6700,"1213,2","80,8"
,5W,6600,"1219,6","83,2"
,5W,6500,"1225,9","85,7"
,5W,6400,"1232,1","88,4"
,5W,6300,"1238,1","91,2"
,5W,6200,"1244,1","94,2"
,5W,6100,"1249,9","97,5"
,5W,6000,"1255,5",101
,5W,5900,"1261,1","104,8"
,5W,5800,"1266,5","108,8"
,5W,5700,"1271,8","113,3"
,5W,5600,1277,"118,1"
,5W,5500,1282,"123,5"
,5W,5400,"1286,9","129,4"
,5W,5300,"1291,6","135,9"
,5W,5200,"1296,2","143,1"
,6W,0,0,0
,6W,100,"2,5","0,1"
,6W,200,5,"0,1"
,6W,300,"7,5","0,2"
,6W,400,10,"0,2"
,6W,500,"12,6","0,3"
,6W,600,"15,2","0,4"
,6W,700,"17,9","0,4"
,6W,800,"20,6","0,5"
,6W,900,"23,3","0,5"
,6W,1000,26,"0,6"
,6W,1100,"28,8","0,7"
,6W,1200,"31,6","0,7"
,6W,1300,"34,5","0,8"
,6W,1400,"37,4","0,9"
,6W,1500,"40,4","0,9"
,6W,1600,"43,4",1
,6W,1700,"46,4","1,1"
,6W,1800,"49,5","1,2"
,6W,1900,"52,6","1,2"
,6W,2000,"55,7","1,3"
,6W,2100,"58,9","1,4"
,6W,2200,"62,2","1,5"
,6W,2300,"65,5","1,5"
,6W,2400,"68,8","1,6"
,6W,2500,"72,2","1,7"
,6W,2600,"75,6","1,8"
,6W,2700,"79,1","1,9"
,6W,2800,"82,6","1,9"
,6W,2900,"86,2",2
,6W,3000,"89,8","2,1"
,6W,3100,"93,5","2,2"
,6W,3200,"97,2","2,3"
,6W,3300,101,"2,4"
,6W,3400,"104,8","2,5"
,6W,3500,"108,7","2,6"
,6W,3600,"112,6","2,7"
,6W,3700,"116,6","2,8"
,6W,3800,"120,6","2,9"
,6W,3900,"124,7",3
,6W,4000,"128,8","3,1"
,6W,4100,"132,9","3,2"
,6W,4200,"137,1","3,3"
,6W,4300,"141,4","3,4"
,6W,4400,"145,7","3,5"
,6W,4500,"150,1","3,6"
,6W,4600,"154,4","3,7"
,6W,4700,"158,9","3,8"
,6W,4800,"163,4","3,9"
,6W,4900,"167,9",4
,6W,5000,"172,5","4,1"
,6W,5100,"177,1","4,2"
,6W,5200,"181,8","4,3"
,6W,5300,"186,6","4,4"
,6W,5400,"191,3","4,6"
,6W,5500,"196,2","4,7"
,6W,5600,201,"4,8"
,6W,5700,206,"4,9"
,6W,5800,"210,9",5
,6W,5900,"215,9","5,2"
,6W,6000,221,"5,3"
,6W,6100,"226,1","5,4"
,6W,6200,"231,3","5,5"
,6W,6300,"236,5","5,7"
,6W,6400,"241,8","5,8"
,6W,6500,"247,1","5,9"
,6W,6600,"252,5","6,1"
,6W,6700,"257,9","6,2"
,6W,6800,"263,4","6,4"
